2,31,8,339,92,460,620,480,490,580,640,22,27,21,27,21,27,NULL,NULL,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,180,1,180,1,180,1,180,1,40,NULL,1,1,1,2,2,1,1551,2,NULL,4740,4950,NULL,195,45884,45884,45884,45884,36194,36194,45884,13,13,0,9,9,0,4,4,0,5,94,1,0,1353,29,Albion College,"Albion, MI",45884,33600,345
2,247,60,33,8,480,570,480,NULL,NULL,585,20,25,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,-2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,181,1,207,1,207,1,181,4,25,50,1,1,1,2,2,1,1152,1,21,5320,4250,NULL,182,47390,47020,47020,47020,38220,38220,47390,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2163,101,Albright College,"Reading, PA",47390,34520,389
2,36,6,533,94,390,470,400,NULL,NULL,500,16,20,15,21,16,18,NULL,NULL,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,1,NULL,10,1,1,1,1,2,1,1726,1,21,5459,2540,NULL,253,20139,21590,21590,21590,13591,13591,20139,1441,798,643,766,579,187,675,219,456,1,74,25,0,3079,871,Alcorn State University,"Alcorn State, MS",20139,4435,574
2,160,41,234,59,420,510,440,390,480,520,19,24,18,21,17,23,NULL,NULL,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,-2,1,1,0,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,163,1,163,1,163,1,0,0,1,1,1,1,2,1,640,1,15,3560,3676,NULL,262,33296,34432,34432,34432,26660,26660,33296,86,66,20,54,34,20,32,32,0,4,88,8,0,821,49,Alderson Broaddus College,"Philippi, WV",33296,22530,385
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,20,NULL,1,1,1,1,2,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,18878,18878,18878,13678,13678,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1534,1458,Alexandria Technical & Community College,"Alexandria, MN",NULL,4817,613
2,479,89,177,33,480,580,500,NULL,NULL,600,21,27,20,26,22,27,NULL,NULL,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,172,1,172,2,-2,1,172,1,50,60,1,1,1,1,2,1,1461,2,NULL,5900,5598,NULL,267,42092,42092,42092,42092,32694,32694,42092,345,56,289,132,40,92,213,16,197,4,93,3,0,2070,292,Alfred University,"Alfred, NY",42092,26884,526
2,5,2,195,98,390,580,410,430,490,550,18,23,18,24,16,23,NULL,NULL,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,0,1,0,0,0,0,2,-2,1,314,1,314,1,314,1,NULL,NULL,1,1,1,2,2,1,500,1,18,2470,2670,NULL,92,20300,18500,18500,18500,15200,15200,20300,30,30,0,17,17,0,13,13,0,1,94,5,0,581,27,Alice Lloyd College,"Pippa Passes, KY",20300,8500,200
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,0,NULL,1,1,1,1,1,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,18131,18131,23451,7412,7412,NULL,4010,4010,0,570,570,0,3440,3440,0,3,59,37,1,3272,7565,Allan Hancock College,"Santa Maria, CA",NULL,1288,1760
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,1,2,-2,2,-2,2,-2,2,-2,1,0,NULL,1,1,1,1,1,1,236,3,NULL,5600,NULL,NULL,NULL,20680,16780,19510,20680,9348,12078,16780,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1958,1701,Allegany College of Maryland,"Cumberland, MD",19510,5880,630
2,393,67,269,46,540,650,560,NULL,NULL,650,24,29,24,31,24,28,NULL,NULL,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,189,1,189,1,189,1,189,1,35,NULL,1,1,1,1,2,1,1844,2,NULL,5020,4520,NULL,262,50150,47650,47650,47650,40610,40610,50150,12,12,0,4,4,0,8,8,0,3,97,1,0,2104,36,Allegheny College,"Meadville, PA",50150,37260,574
